step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
259080.0,-1473,70,-1280,88
260100.0,-1313,14,-1156,25
261120.0,-1542,60,-1107,64
262140.0,-1661,4,-1202,1
263160.0,-1537,50,-1149,40
264180.0,-1843,96,-1256,79
265200.0,-1379,40,-1327,16
266220.0,-1850,86,-1394,55
267240.0,-1110,30,-1441,94
268260.0,-1477,76,-1578,31
269280.0,-870,20,-1680,70
270300.0,-1292,66,-1710,7
271320.0,-1233,10,-1578,46
272340.0,-1162,56,-1579,85
273360.0,-1317,0,-1264,22
274380.0,-1136,46,-1435,61
275400.0,-1590,92,-1183,100
276420.0,-1363,36,-1216,37
277440.0,-1861,82,-1181,76
278460.0,-1321,26,-1154,13
279480.0,-1896,72,-1179,52
280500.0,-1216,16,-1369,91
281520.0,-1559,62,-1400,28
282540.0,-1129,6,-1486,67
283560.0,-1233,52,-1711,4
284580.0,-1453,98,-1629,43
285600.0,-933,42,-1549,82
286620.0,-1299,88,-1551,19
287640.0,-863,32,-1450,58
288660.0,-1534,78,-1306,97
289680.0,-1119,22,-1298,34
290700.0,-1676,68,-1151,73
291720.0,-1365,12,-1031,10
292740.0,-1706,58,-1228,49
293760.0,-1674,2,-1269,88
294780.0,-1493,48,-1196,25
295800.0,-1596,94,-1319,64
296820.0,-1619,79,-1403,1
297840.0,-1235,23,-1297,40
298860.0,-1462,69,-1281,79
299880.0,-1259,13,-1131,16
300900.0,-1753,59,-1095,55
301920.0,-1653,3,-1210,94
302940.0,-1409,49,-1200,31
303960.0,-1587,95,-1324,70
304980.0,-1054,39,-1308,7
306000.0,-1681,85,-1569,46
307020.0,-1282,29,-1159,11
308040.0,-1762,75,-1237,50
309060.0,-1210,19,-1431,89
310080.0,-1496,65,-1450,26
311100.0,-1273,9,-1487,65
312120.0,-1093,55,-1710,2
313140.0,-1265,101,-1735,41
314160.0,-964,45,-1524,80
315180.0,-1328,91,-1421,17
316200.0,-1085,35,-1343,56
317220.0,-1589,81,-1258,95
318240.0,-1166,25,-1152,32
319260.0,-1766,71,-1113,71
320280.0,-1408,15,-1053,8
321300.0,-1689,61,-1206,47
322320.0,-1666,5,-1266,86
323340.0,-1381,51,-1263,23
324360.0,-1480,97,-1290,5
325380.0,-1229,41,-1096,44
326400.0,-1743,87,-1171,83
327420.0,-1380,31,-1131,20
328440.0,-1912,77,-1182,59
329460.0,-1269,21,-1255,98
330480.0,-1697,67,-1429,35
331500.0,-1265,11,-1479,74
332520.0,-1239,57,-1532,11
333540.0,-1194,1,-1577,50
334560.0,-1052,47,-1655,89
335580.0,-1274,93,-1586,26
336600.0,-919,37,-1498,65
337620.0,-1458,83,-1389,2
338640.0,-1046,27,-1243,41
339660.0,-1524,73,-1212,80
340680.0,-1357,17,-1065,17
341700.0,-1802,63,-1051,56
342720.0,-1445,7,-1290,95
343740.0,-1503,53,-1201,32
344760.0,-1664,99,-1291,71
345780.0,-1297,43,-1376,8
346800.0,-1577,89,-1612,47
347820.0,-915,33,-1644,86
348840.0,-1527,79,-1745,23
349860.0,-1001,23,-1694,62
350880.0,-1316,69,-1499,101
351900.0,-1058,13,-1465,38
352920.0,-1417,59,-1167,66
353940.0,-1636,3,-1204,3
354960.0,-1517,49,-1177,42
355980.0,-1784,95,-1276,81
357000.0,-1333,39,-1176,18
358020.0,-1683,85,-1270,57
359040.0,-1058,29,-1429,96
360060.0,-1504,75,-1602,33
361080.0,-1086,19,-1569,72
362100.0,-1382,65,-1760,9
363120.0,-1072,9,-1539,48
364140.0,-1134,55,-1586,87
365160.0,-1364,101,-1300,24
366180.0,-1237,45,-1378,63
367200.0,-1659,91,-1258,0
368220.0,-1228,35,-1173,39
369240.0,-1854,81,-1169,78
370260.0,-1438,25,-997,15
371280.0,-1921,71,-1177,54
372300.0,-1248,15,-1215,93
373320.0,-1540,61,-1360,30
374340.0,-1412,5,-1565,69
375360.0,-1133,51,-1614,6
376380.0,-1327,97,-1696,45
377400.0,-1028,19,-1461,84
378420.0,-1413,65,-1482,21
379440.0,-1067,9,-1575,60
380460.0,-1200,55,-1671,99
381480.0,-1308,101,-1751,47
