step_time,gneJ00_offset,gneJ9_offset,queue_sum
250920,6,63,26.7
251532,72,82,28.3
252144,7,82,26.7
252756,68,86,30.0
253368,4,81,26.7
253980,73,85,30.7
254592,99,82,27.0
255204,99,80,31.7
255816,0,80,26.3
256428,78,80,32.7
257040,96,77,26.7
257652,100,74,29.7
258264,2,68,26.7
258876,84,68,33.7
259488,99,67,28.7
260100,2,67,26.3
260712,78,67,34.3
261324,97,67,26.3
261936,101,67,29.0
262548,1,67,27.0
263160,76,71,30.3
263772,3,71,27.0
264384,74,72,28.7
264996,11,69,25.0
265608,71,61,27.0
266220,11,61,24.0
266832,76,59,31.3
267444,2,59,25.7
268056,78,63,28.7
268668,100,63,28.7
269280,1,63,27.0
269892,81,63,32.3
270504,93,58,26.7
271116,97,57,29.0
271728,0,52,26.3
272340,85,52,32.0
272952,98,51,26.0
273564,5,50,24.7
274176,86,98,30.0
274788,97,94,26.7
275400,0,89,28.7
276012,93,89,33.7
276624,2,83,26.0
277236,100,83,31.7
277848,9,80,28.3
278460,97,27,25.7
279072,2,67,27.0
279684,95,67,30.3
280296,3,62,27.3
280908,95,62,30.3
281520,3,54,26.0
282132,92,54,30.0
282744,5,45,19.3
283356,93,15,25.7
283968,6,7,28.3
284580,11,1,27.3
285192,17,98,30.3
285804,14,86,28.3
286416,10,73,24.0
287028,1,59,24.7
287640,100,59,28.3
288252,11,56,20.3
288864,94,56,25.0
289476,7,56,23.3
290088,90,55,29.3
290700,100,55,26.0
291312,2,55,24.7
291924,87,58,27.7
292536,97,58,26.7
293148,4,58,25.0
293760,93,66,30.0
294372,4,66,25.3
294984,97,70,30.3
295596,7,70,22.7
296208,86,44,27.7
296820,98,43,24.7
297432,0,42,25.7
298044,88,42,26.7
298656,96,40,25.0
299268,101,33,22.3
299880,1,72,27.0
300492,95,72,32.3
301104,101,66,25.3
301716,2,60,27.0
302328,93,60,31.7
302940,100,57,25.7
303552,2,55,24.0
304164,85,57,32.0
304776,96,57,27.3
305388,0,57,26.0
306000,90,61,27.7
306612,97,61,26.0
307224,1,61,25.7
307836,83,61,31.0
308448,0,61,25.7
309060,85,64,30.7
309672,2,64,25.7
310284,88,64,32.3
310896,2,63,25.7
311508,91,63,32.0
312120,1,60,27.0
312732,93,61,27.7
313344,0,61,26.0
313956,97,61,30.7
314568,2,57,26.3
315180,95,57,28.0
315792,101,51,23.3
316404,0,45,22.3
317016,89,45,30.0
317628,100,39,24.3
318240,2,15,29.7
318852,2,39,28.7
319464,89,74,28.0
320076,5,64,24.0
320688,0,80,30.7
321300,0,80,30.3
321912,0,80,30.7
322524,0,80,33.3
323136,0,80,31.3
323748,98,80,30.0
324360,1,80,27.7
324972,96,82,28.0
325584,97,81,27.7
326196,99,81,27.0
326808,100,81,28.0
327420,0,81,26.0
328032,93,81,28.3
328644,101,81,26.7
329256,5,81,26.7
329868,0,82,26.7
330480,98,84,28.7
331092,1,84,27.3
331704,99,86,28.3
332316,0,85,30.7
332928,99,85,31.7
333540,1,84,27.0
334152,1,85,27.3
334764,1,87,28.3
335376,1,87,29.0
335988,100,87,33.0
336600,1,86,30.3
337212,100,86,30.3
337824,2,83,26.3
338436,101,83,30.3
339048,2,80,27.0
339660,96,80,32.3
340272,96,74,34.0
340884,100,69,27.3
341496,100,62,28.3
342108,0,53,27.0
342720,92,53,28.3
343332,0,47,22.7
343944,92,47,27.0
344556,1,44,24.7
345168,90,44,28.7
345780,97,39,24.7
346392,100,20,23.7
347004,2,10,28.3
347616,2,2,35.0
348228,2,98,32.7
348840,0,98,32.0
349452,98,98,31.3
350064,98,93,34.7
350676,0,88,28.3
351288,100,88,34.3
351900,5,85,26.3
352512,3,85,29.0
353124,3,85,33.0
353736,3,85,34.3
354348,3,85,32.7
354960,2,85,28.7
355572,1,85,31.3
356184,1,85,32.7
356796,99,85,30.0
357408,4,82,25.0
358020,0,86,30.3
358632,0,89,29.0
359244,0,93,28.3
359856,0,98,29.0
360468,0,100,29.3
361080,0,0,29.3
361692,3,0,26.7
362304,5,0,28.3
362916,8,0,28.7
363528,9,0,27.7
364140,10,99,28.3
364752,2,92,28.3
365364,100,92,33.0
365976,1,86,27.7
366588,101,86,31.7
367200,2,80,29.3
367812,1,80,37.0
368424,100,80,33.0
369036,0,77,27.7
369648,99,77,33.3
370260,101,70,28.0
370872,0,64,26.0
371484,96,64,28.7
372096,1,59,23.7
372708,99,59,24.7
373320,6,58,22.0
373932,91,51,28.0
374544,0,48,24.3
375156,93,48,28.3
375768,5,43,22.7
376380,98,36,24.3
376992,0,14,27.7
377604,0,8,33.3
378216,0,5,31.7
378828,0,0,32.3
379440,0,98,30.3
380052,99,98,32.3
380664,1,97,27.0
381276,98,97,29.0
381888,2,97,29.3
382500,2,0,28.3
383112,2,0,32.0
383724,3,0,28.3
384336,3,101,35.7
384948,0,101,34.7
385560,99,101,30.3
386172,1,101,27.0
386784,101,0,29.7
387396,8,0,27.7
388008,8,0,33.7
388620,8,0,33.3
389232,8,0,34.0
389844,11,0,27.7
390456,12,0,27.3
391068,12,0,32.0
391680,12,0,32.7
392292,12,0,36.7
392904,12,0,33.3
393516,12,0,29.7
394128,13,101,26.7
394740,10,97,26.7
395352,7,93,26.3
395964,6,51,24.0
396576,89,46,31.0
397188,100,41,24.0
397800,2,34,25.0
398412,86,32,28.0
399024,97,5,28.3
399636,101,5,28.7
400248,101,5,36.0
400860,101,5,35.0
401472,101,5,33.0
402084,101,5,33.3
402696,101,5,31.3
403308,101,5,32.3
403920,101,5,34.0
404532,101,5,34.3
405144,101,3,32.0
405756,0,0,29.7
406368,0,101,34.7
406980,99,101,32.3
407592,0,99,29.3
408204,101,99,30.7
408816,5,98,28.0
409428,4,31,23.0
410040,100,27,24.3
410652,8,33,26.3
411264,3,28,25.3
411876,95,24,23.0
412488,8,39,23.0
413100,0,38,23.7
413712,96,27,26.0
414324,8,43,22.3
414936,100,43,25.0
415548,5,43,24.3
416160,91,43,28.0
416772,99,43,26.3
417384,5,43,23.3
417996,95,43,24.0
418608,3,43,25.7
419220,89,43,28.7
419832,100,43,24.3
420444,5,41,26.0
421056,93,40,26.7
421668,100,38,22.7
422280,1,17,27.7
422892,3,68,27.7
423504,94,22,25.7
424116,4,53,24.3
424728,84,49,30.7
425340,2,46,26.3
425952,88,40,28.0
426564,98,38,23.3
427176,101,16,27.3
427788,3,15,24.3
428400,3,97,35.3
429012,97,77,28.3
429624,97,75,34.0
430236,99,68,27.0
430848,101,62,27.3
431460,0,54,26.3
432072,82,61,31.3
432684,91,53,29.3
433296,93,46,26.3
433908,93,40,28.0
434520,93,34,29.0
435132,93,96,33.0
435744,94,95,29.0
436356,97,94,28.3
436968,98,94,29.0
437580,101,91,32.7
438192,3,87,27.3
438804,95,50,26.3
439416,100,40,23.0
440028,100,17,28.7
440640,1,6,30.7
441252,1,98,38.0
441864,1,19,27.3
442476,4,71,24.7
443088,92,56,28.0
443700,101,52,24.3
444312,3,47,21.3
444924,79,47,33.3
445536,96,44,25.3
446148,97,40,27.3
446760,99,14,28.7
447372,2,14,25.7
447984,4,9,31.0
448596,4,6,31.7
449208,6,5,29.0
449820,7,3,28.3
450432,7,3,34.3
451044,8,3,28.7
451656,14,3,28.5
452268,17,3,28.7
452880,22,3,28.7
453492,25,3,24.3
454104,29,3,26.0
454716,41,1,25.7
455328,13,1,30.0
455940,15,0,27.3
456552,15,97,31.7
457164,5,90,29.3
457776,3,85,30.7
458388,1,62,27.7
459000,97,80,28.3
459612,1,74,26.3
460224,101,10,27.7
460836,5,6,29.0
461448,5,5,37.0
462060,5,4,33.3
462672,5,3,33.3
463284,5,1,35.3
463896,5,101,36.3
464508,101,97,29.3
465120,1,97,27.7
465732,99,43,25.7
466344,99,43,26.3
466956,99,43,30.0
467568,99,43,25.0
